receiptEventId,shipmentUnitId,locationCode,locationType,actualReceiptDt,sourceColumn,sourceLineId,matchedRequiredDestination,validationStatus,reasonCode
RE-LS-000037-DAS,HVDC-ADOPT-HE-0062,DAS,PROJECT_SITE,2025-05-29,BR,LS-000037,true,PASS,
RE-LS-000037-DSV_INDOOR,HVDC-ADOPT-HE-0062,DSV_INDOOR,WAREHOUSE,2024-02-01,BT,LS-000037,false,PASS,
RE-LS-000037-DSV_OUTDOOR,HVDC-ADOPT-HE-0062,DSV_OUTDOOR,WAREHOUSE,2024-02-01,BU,LS-000037,false,PASS,
RE-LS-000037-MOSB,HVDC-ADOPT-HE-0062,MOSB,MOSB_OFFSHORE_STAGING,2025-05-20,BZ,LS-000037,false,PASS,
RE-LS-000038-DAS,HVDC-ADOPT-HE-0063,DAS,PROJECT_SITE,2025-06-07,BR,LS-000038,true,PASS,
RE-LS-000038-DSV_INDOOR,HVDC-ADOPT-HE-0063,DSV_INDOOR,WAREHOUSE,2024-02-02,BT,LS-000038,false,PASS,
RE-LS-000039-MIR,HVDC-ADOPT-HE-0064,MIR,PROJECT_SITE,2025-08-08,BQ,LS-000039,true,PASS,
RE-LS-000039-DSV_INDOOR,HVDC-ADOPT-HE-0064,DSV_INDOOR,WAREHOUSE,2024-02-01,BT,LS-000039,false,PASS,
RE-LS-000040-MIR,HVDC-ADOPT-HE-0065,MIR,PROJECT_SITE,2025-08-08,BQ,LS-000040,true,PASS,
RE-LS-000040-DSV_INDOOR,HVDC-ADOPT-HE-0065,DSV_INDOOR,WAREHOUSE,2024-02-02,BT,LS-000040,false,PASS,
RE-LS-000041-SHU,HVDC-ADOPT-HE-0066,SHU,PROJECT_SITE,2024-02-01,BP,LS-000041,true,PASS,
RE-LS-000041-DSV_INDOOR,HVDC-ADOPT-HE-0066,DSV_INDOOR,WAREHOUSE,2024-02-01,BT,LS-000041,false,PASS,
RE-LS-000042-SHU,HVDC-ADOPT-HE-0067,SHU,PROJECT_SITE,2025-07-08,BP,LS-000042,true,PASS,
RE-LS-000042-DSV_INDOOR,HVDC-ADOPT-HE-0067,DSV_INDOOR,WAREHOUSE,2024-02-02,BT,LS-000042,false,PASS,
RE-LS-000043-SHU,HVDC-ADOPT-HE-0028,SHU,PROJECT_SITE,2024-03-05,BP,LS-000043,true,PASS,
RE-LS-000044-MIR,HVDC-ADOPT-HE-0058,MIR,PROJECT_SITE,2024-03-06,BQ,LS-000044,true,PASS,
RE-LS-000045-MIR,HVDC-ADOPT-HE-0059,MIR,PROJECT_SITE,2024-03-07,BQ,LS-000045,true,PASS,
RE-LS-000046-DAS,HVDC-ADOPT-HE-0060,DAS,PROJECT_SITE,2024-09-02,BR,LS-000046,true,PASS,
RE-LS-000046-MOSB,HVDC-ADOPT-HE-0060,MOSB,MOSB_OFFSHORE_STAGING,2024-03-07,BZ,LS-000046,false,PASS,
RE-LS-000047-MIR,HVDC-ADOPT-PPL-0010,MIR,PROJECT_SITE,2025-11-24,BQ,LS-000047,false,PASS,
RE-LS-000047-JDN_MZD,HVDC-ADOPT-PPL-0010,JDN_MZD,WAREHOUSE,2024-02-23,BX,LS-000047,false,PASS,
RE-LS-000048-MIR,HVDC-ADOPT-PPL-0011,MIR,PROJECT_SITE,2025-11-24,BQ,LS-000048,false,PASS,
RE-LS-000048-JDN_MZD,HVDC-ADOPT-PPL-0011,JDN_MZD,WAREHOUSE,2024-03-06,BX,LS-000048,false,PASS,
RE-LS-000049-MIR,HVDC-ADOPT-PPL-0012,MIR,PROJECT_SITE,2025-11-24,BQ,LS-000049,false,PASS,
RE-LS-000049-JDN_MZD,HVDC-ADOPT-PPL-0012,JDN_MZD,WAREHOUSE,2024-03-10,BX,LS-000049,false,PASS,
RE-LS-000050-JDN_MZD,HVDC-ADOPT-PPL-0013,JDN_MZD,WAREHOUSE,2024-03-06,BX,LS-000050,false,PASS,
RE-LS-000051-SHU,HVDC-ADOPT-SCT-0001,SHU,PROJECT_SITE,2024-03-28,BP,LS-000051,true,PASS,
RE-LS-000051-MIR,HVDC-ADOPT-SCT-0001,MIR,PROJECT_SITE,2024-04-18,BQ,LS-000051,true,PASS,
RE-LS-000052-SHU,HVDC-ADOPT-SCT-0002,SHU,PROJECT_SITE,2024-05-16,BP,LS-000052,true,PASS,
RE-LS-000052-DAS,HVDC-ADOPT-SCT-0002,DAS,PROJECT_SITE,2024-05-15,BR,LS-000052,true,PASS,
RE-LS-000053-JDN_MZD,HVDC-ADOPT-SEI-0001,JDN_MZD,WAREHOUSE,2024-03-28,BX,LS-000053,false,PASS,
RE-LS-000054-SHU,HVDC-ADOPT-SEI-0002,SHU,PROJECT_SITE,2025-11-21,BP,LS-000054,true,PASS,
RE-LS-000054-JDN_MZD,HVDC-ADOPT-SEI-0002,JDN_MZD,WAREHOUSE,2024-04-08,BX,LS-000054,false,PASS,
RE-LS-000055-SHU,HVDC-ADOPT-SIM-0001,SHU,PROJECT_SITE,2024-03-28,BP,LS-000055,true,PASS,
RE-LS-000055-MIR,HVDC-ADOPT-SIM-0001,MIR,PROJECT_SITE,2024-04-18,BQ,LS-000055,true,PASS,
RE-LS-000055-DAS,HVDC-ADOPT-SIM-0001,DAS,PROJECT_SITE,2024-04-04,BR,LS-000055,true,PASS,
RE-LS-000055-AGI,HVDC-ADOPT-SIM-0001,AGI,PROJECT_SITE,2024-04-04,BS,LS-000055,true,PASS,
RE-LS-000055-DSV_OUTDOOR,HVDC-ADOPT-SIM-0001,DSV_OUTDOOR,WAREHOUSE,2024-03-20,BU,LS-000055,false,PASS,
RE-LS-000055-MOSB,HVDC-ADOPT-SIM-0001,MOSB,MOSB_OFFSHORE_STAGING,2024-03-26,BZ,LS-000055,false,PASS,
RE-LS-000056-SHU,HVDC-ADOPT-HE-0053,SHU,PROJECT_SITE,2025-03-19,BP,LS-000056,true,PASS,
RE-LS-000056-DSV_INDOOR,HVDC-ADOPT-HE-0053,DSV_INDOOR,WAREHOUSE,2024-04-01,BT,LS-000056,false,PASS,
RE-LS-000057-SHU,HVDC-ADOPT-HE-0054,SHU,PROJECT_SITE,2025-06-26,BP,LS-000057,true,PASS,
RE-LS-000057-DSV_INDOOR,HVDC-ADOPT-HE-0054,DSV_INDOOR,WAREHOUSE,2024-03-29,BT,LS-000057,false,PASS,
RE-LS-000058-SHU,HVDC-ADOPT-HE-0056,SHU,PROJECT_SITE,2025-06-30,BP,LS-000058,true,PASS,
RE-LS-000058-DSV_INDOOR,HVDC-ADOPT-HE-0056,DSV_INDOOR,WAREHOUSE,2024-04-04,BT,LS-000058,false,PASS,
RE-LS-000058-DSV_OUTDOOR,HVDC-ADOPT-HE-0056,DSV_OUTDOOR,WAREHOUSE,2024-04-17,BU,LS-000058,false,PASS,
RE-LS-000059-AGI,HVDC-ADOPT-HE-0029,AGI,PROJECT_SITE,2025-12-22,BS,LS-000059,true,PASS,
RE-LS-000059-DSV_OUTDOOR,HVDC-ADOPT-HE-0029,DSV_OUTDOOR,WAREHOUSE,2024-03-14,BU,LS-000059,false,PASS,
RE-LS-000060-AGI,HVDC-ADOPT-HE-0071,AGI,PROJECT_SITE,2025-12-22,BS,LS-000060,true,PASS,
RE-LS-000060-DSV_OUTDOOR,HVDC-ADOPT-HE-0071,DSV_OUTDOOR,WAREHOUSE,2024-03-14,BU,LS-000060,false,PASS,
RE-LS-000061-DAS,HVDC-ADOPT-HE-0061,DAS,PROJECT_SITE,2024-09-02,BR,LS-000061,true,PASS,
RE-LS-000061-MOSB,HVDC-ADOPT-HE-0061,MOSB,MOSB_OFFSHORE_STAGING,2024-03-14,BZ,LS-000061,false,PASS,
RE-LS-000062-DAS,HVDC-ADOPT-HE-0074,DAS,PROJECT_SITE,2024-09-02,BR,LS-000062,true,PASS,
RE-LS-000062-MOSB,HVDC-ADOPT-HE-0074,MOSB,MOSB_OFFSHORE_STAGING,2024-03-14,BZ,LS-000062,false,PASS,
RE-LS-000063-MIR,HVDC-ADOPT-HE-0072,MIR,PROJECT_SITE,2024-03-11,BQ,LS-000063,true,PASS,
RE-LS-000064-SHU,HVDC-ADOPT-HE-0057,SHU,PROJECT_SITE,2024-03-12,BP,LS-000064,true,PASS,
RE-LS-000065-SHU,HVDC-ADOPT-HE-0075,SHU,PROJECT_SITE,2024-03-12,BP,LS-000065,true,PASS,
RE-LS-000066-SHU,HVDC-ADOPT-HE-0069,SHU,PROJECT_SITE,2024-03-23,BP,LS-000066,true,PASS,
RE-LS-000067-SHU,HVDC-ADOPT-HE-0070,SHU,PROJECT_SITE,2025-06-26,BP,LS-000067,true,PASS,
RE-LS-000067-DSV_INDOOR,HVDC-ADOPT-HE-0070,DSV_INDOOR,WAREHOUSE,2024-03-19,BT,LS-000067,false,PASS,
RE-LS-000068-SHU,HVDC-ADOPT-HE-0068-1,SHU,PROJECT_SITE,2025-03-19,BP,LS-000068,true,PASS,
RE-LS-000068-DSV_INDOOR,HVDC-ADOPT-HE-0068-1,DSV_INDOOR,WAREHOUSE,2024-03-28,BT,LS-000068,false,PASS,
RE-LS-000069-SHU,HVDC-ADOPT-HE-0080-1,SHU,PROJECT_SITE,2024-04-04,BP,LS-000069,true,PASS,
RE-LS-000070-SHU,HVDC-ADOPT-HE-0081,SHU,PROJECT_SITE,2025-03-19,BP,LS-000070,true,PASS,
RE-LS-000070-DSV_INDOOR,HVDC-ADOPT-HE-0081,DSV_INDOOR,WAREHOUSE,2024-03-28,BT,LS-000070,false,PASS,
RE-LS-000071-MIR,HVDC-ADOPT-HE-0073,MIR,PROJECT_SITE,2024-03-20,BQ,LS-000071,true,PASS,
RE-LS-000072-MIR,HVDC-ADOPT-HE-0078,MIR,PROJECT_SITE,2024-03-20,BQ,LS-000072,true,PASS,
RE-LS-000073-AGI,HVDC-ADOPT-HE-0030,AGI,PROJECT_SITE,2025-12-22,BS,LS-000073,true,PASS,
RE-LS-000073-DSV_OUTDOOR,HVDC-ADOPT-HE-0030,DSV_OUTDOOR,WAREHOUSE,2024-03-21,BU,LS-000073,false,PASS,
RE-LS-000074-AGI,HVDC-ADOPT-HE-0076,AGI,PROJECT_SITE,2025-12-22,BS,LS-000074,true,PASS,
RE-LS-000074-DSV_OUTDOOR,HVDC-ADOPT-HE-0076,DSV_OUTDOOR,WAREHOUSE,2024-03-20,BU,LS-000074,false,PASS,
RE-LS-000075-AGI,HVDC-ADOPT-HE-0077,AGI,PROJECT_SITE,2025-12-22,BS,LS-000075,true,PASS,
RE-LS-000075-DSV_OUTDOOR,HVDC-ADOPT-HE-0077,DSV_OUTDOOR,WAREHOUSE,2024-03-20,BU,LS-000075,false,PASS,
RE-LS-000076-SHU,HVDC-ADOPT-HE-0068-2,SHU,PROJECT_SITE,2025-03-19,BP,LS-000076,true,PASS,
RE-LS-000076-DSV_INDOOR,HVDC-ADOPT-HE-0068-2,DSV_INDOOR,WAREHOUSE,2024-04-15,BT,LS-000076,false,PASS,
RE-LS-000077-SHU,HVDC-ADOPT-HE-0080-2,SHU,PROJECT_SITE,2024-04-17,BP,LS-000077,true,PASS,
RE-LS-000078-AGI,HVDC-ADOPT-HE-0031,AGI,PROJECT_SITE,2025-12-22,BS,LS-000078,true,PASS,
RE-LS-000078-DSV_OUTDOOR,HVDC-ADOPT-HE-0031,DSV_OUTDOOR,WAREHOUSE,2024-03-27,BU,LS-000078,false,PASS,
RE-LS-000078-MOSB,HVDC-ADOPT-HE-0031,MOSB,MOSB_OFFSHORE_STAGING,2025-12-17,BZ,LS-000078,false,PASS,
RE-LS-000079-SHU,HVDC-ADOPT-HE-0055,SHU,PROJECT_SITE,2024-04-23,BP,LS-000079,true,PASS,
RE-LS-000080-SHU,HVDC-ADOPT-HE-0082,SHU,PROJECT_SITE,2025-07-08,BP,LS-000080,true,PASS,
RE-LS-000080-DSV_INDOOR,HVDC-ADOPT-HE-0082,DSV_INDOOR,WAREHOUSE,2024-04-02,BT,LS-000080,false,PASS,
RE-LS-000081-SHU,HVDC-ADOPT-HE-0083,SHU,PROJECT_SITE,2024-04-17,BP,LS-000081,true,PASS,
RE-LS-000082-SHU,HVDC-ADOPT-HE-0084-1,SHU,PROJECT_SITE,2025-03-19,BP,LS-000082,true,PASS,
RE-LS-000082-DSV_INDOOR,HVDC-ADOPT-HE-0084-1,DSV_INDOOR,WAREHOUSE,2024-04-06,BT,LS-000082,false,PASS,
RE-LS-000083-AGI,HVDC-ADOPT-HE-0079,AGI,PROJECT_SITE,2025-12-22,BS,LS-000083,true,PASS,
RE-LS-000083-DSV_OUTDOOR,HVDC-ADOPT-HE-0079,DSV_OUTDOOR,WAREHOUSE,2024-04-04,BU,LS-000083,false,PASS,
RE-LS-000084-AGI,HVDC-ADOPT-HE-0032,AGI,PROJECT_SITE,2025-12-22,BS,LS-000084,true,PASS,
RE-LS-000084-DSV_OUTDOOR,HVDC-ADOPT-HE-0032,DSV_OUTDOOR,WAREHOUSE,2024-04-04,BU,LS-000084,false,PASS,
RE-LS-000085-SHU,HVDC-ADOPT-HE-0084-2,SHU,PROJECT_SITE,2025-03-19,BP,LS-000085,true,PASS,
RE-LS-000085-DSV_INDOOR,HVDC-ADOPT-HE-0084-2,DSV_INDOOR,WAREHOUSE,2024-04-24,BT,LS-000085,false,PASS,
RE-LS-000086-AGI,HVDC-ADOPT-HE-0048,AGI,PROJECT_SITE,2025-11-13,BS,LS-000086,true,PASS,
RE-LS-000086-DSV_OUTDOOR,HVDC-ADOPT-HE-0048,DSV_OUTDOOR,WAREHOUSE,2024-03-22,BU,LS-000086,false,PASS,
RE-LS-000087-AGI,HVDC-ADOPT-HE-0050,AGI,PROJECT_SITE,2025-12-22,BS,LS-000087,true,PASS,
RE-LS-000087-DSV_OUTDOOR,HVDC-ADOPT-HE-0050,DSV_OUTDOOR,WAREHOUSE,2024-03-22,BU,LS-000087,false,PASS,
RE-LS-000088-AGI,HVDC-ADOPT-HE-0051,AGI,PROJECT_SITE,2025-12-22,BS,LS-000088,true,PASS,
RE-LS-000088-DSV_OUTDOOR,HVDC-ADOPT-HE-0051,DSV_OUTDOOR,WAREHOUSE,2024-03-22,BU,LS-000088,false,PASS,
RE-LS-000089-AGI,HVDC-ADOPT-HE-0049,AGI,PROJECT_SITE,2025-11-19,BS,LS-000089,true,PASS,
RE-LS-000089-DSV_OUTDOOR,HVDC-ADOPT-HE-0049,DSV_OUTDOOR,WAREHOUSE,2024-03-22,BU,LS-000089,false,PASS,
RE-LS-000089-MOSB,HVDC-ADOPT-HE-0049,MOSB,MOSB_OFFSHORE_STAGING,2025-11-07,BZ,LS-000089,false,PASS,
RE-LS-000090-AGI,HVDC-ADOPT-HE-0052,AGI,PROJECT_SITE,2025-12-12,BS,LS-000090,true,PASS,
RE-LS-000090-DSV_OUTDOOR,HVDC-ADOPT-HE-0052,DSV_OUTDOOR,WAREHOUSE,2024-03-22,BU,LS-000090,false,PASS,
RE-LS-000090-MOSB,HVDC-ADOPT-HE-0052,MOSB,MOSB_OFFSHORE_STAGING,2025-12-08,BZ,LS-000090,false,PASS,
RE-LS-000091-MIR,HVDC-ADOPT-HE-0044,MIR,PROJECT_SITE,2024-04-02,BQ,LS-000091,true,PASS,
RE-LS-000092-MIR,HVDC-ADOPT-HE-0047,MIR,PROJECT_SITE,2024-04-02,BQ,LS-000092,true,PASS,
RE-LS-000093-MIR,HVDC-ADOPT-HE-0046,MIR,PROJECT_SITE,2024-04-02,BQ,LS-000093,true,PASS,
RE-LS-000094-MIR,HVDC-ADOPT-HE-0043,MIR,PROJECT_SITE,2024-04-02,BQ,LS-000094,true,PASS,
RE-LS-000095-MIR,HVDC-ADOPT-HE-0045,MIR,PROJECT_SITE,2024-04-02,BQ,LS-000095,true,PASS,
RE-LS-000096-SHU,HVDC-ADOPT-HE-0039,SHU,PROJECT_SITE,2024-03-23,BP,LS-000096,true,PASS,
RE-LS-000097-SHU,HVDC-ADOPT-HE-0042,SHU,PROJECT_SITE,2024-03-23,BP,LS-000097,true,PASS,
RE-LS-000098-SHU,HVDC-ADOPT-HE-0038,SHU,PROJECT_SITE,2024-03-23,BP,LS-000098,true,PASS,
RE-LS-000099-SHU,HVDC-ADOPT-HE-0040,SHU,PROJECT_SITE,2024-03-26,BP,LS-000099,true,PASS,
RE-LS-000100-SHU,HVDC-ADOPT-HE-0041,SHU,PROJECT_SITE,2024-03-24,BP,LS-000100,true,PASS,
RE-LS-000101-DAS,HVDC-ADOPT-HE-0034,DAS,PROJECT_SITE,2024-08-06,BR,LS-000101,true,PASS,
